Filename,T1,T2,S1,2T1-S1,2T1-T2,HOMO,LUMO
mfthreeENERGY.log,0.7552,2.7026,2.6347,-1.1243,-1.1922,-0.25025,
mf2r2engin.log,1.1047,3.3123,2.9122,-0.7027999999999999,-1.1029,-0.24827,
cn-shnew_E.log,0.7574,1.9825,1.8919,-0.3771,-0.4677,-0.253,
cn-sh_E.log,,,,,,-0.25689,
cn-sh2_E.log,0.8875,2.1118,2.0771,-0.30210000000000026,-0.3368000000000002,-0.25506,
MNO2e.log,0.9437,2.4299,2.7374,-0.8500000000000001,-0.5425,-0.27059,
MNO2andohe.log,0.9644,2.4888,2.6629,-0.7341,-0.5599999999999998,-0.25554,
MNO2andoh2nde.log,0.678,2.2568,2.2809,-0.9248999999999998,-0.9008,-0.25718,
MNO2-2nde.log,1.0935,2.7683,2.8585,-0.6715,-0.5813000000000001,-0.26428,
M2NO2e.log,0.9607,2.3812,2.6753,-0.7539,-0.4598000000000002,-0.28452,
M2 ENERGY.log,0.9763,2.9771,2.7853,-0.8327,-1.0245000000000002,-0.24927,
ENERGY FOR 1F.log,1.1209,3.1957,2.9319,-0.6901000000000002,-0.9539,-0.2476,
